Designator,Footprint,Quantity,Value,LCSC Part #
AUDIO1,AUDIO-SMD_PJ-393,1,PJ-393_C2837065,C2837065
"C1, C12, C17, C188, C196, C2, C3, C34, C35, C36, C37, C38, C39, C7, C81",0402,15,2.2uF,
"C10, C11, C13, C134, C14, C15, C150, C16, C18, C198, C4, C40, C42, C43, C44, C45, C5, C51, C53, C54, C55, C6, C60, C61, C62, C75, C76, C79, C8, C80, C83, C84, C9",0402,33,0.1uF,
"C100, C140, C144, C146, C151, C155, C159, C161, C164, C166, C172, C174, C175, C178, C98",0402,15,100nF,
"C102, C104",CP_Radial_D8.0mm_P3.50mm,2,220uF,
"C109, C110, C115, C116",0603,4,1uF,
"C122, C123",0603,2,10nF,
"C165, C191, C67, C72, C73, C82",0402,6,1uF,
"C168, C169",0402,2,5.1pF,
"C170, C171",0402,2,5.6pF,
"C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33",CAP-SMD_BD4.0-L4.3-W4.3-FD,15,10uF,
C41,0603,1,0.1uF,
C58,0402,1,100uF,
"C77, C86, C88",0402,3,1nF,
"C93, C94, C95, C96",0402,4,220nF,
CARD1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
"CN1, CN2",CONN-TH_DIN-504B-M10,2,DIN-504B-M10,C2939346
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D5, D6, D7, D8, D9",SOD-323_L1.8-W1.3-LS2.5-RD,48,1N4148WS_C917117,C917117
D49,LED0603-RD,1,LED,C5656657
D50,D_SOD-523,1,1N4148WT,
FB1,0603,1,100,
FPC1,FPC-SMD_5034801200,1,5034801200,C587969
"J1, J2, J5",AUDIO-TH_PJ-625G,3,PJ-625G,C309300
J3,PinHeader_1x13_P2.54mm_Vertical,1,Conn_01x13_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J6,CONN-TH_B8PS-VH-LF-SN,1,Conn_01x08_Pin,C157970
J9,CONN-TH_2P-P5.00_WJ500V-5.08-2P,1,Conn_01x02_Socket,C8465
"L5, L6",IND-SMD_L11.0-W10.5_SL1050-330M,2,10uH,
OC1,DIP-6_W7.62mm_LongPads,1,H11L1,
"R1, R2, R3, R4, R5, R6",0402,6,470K,
"R10, R11, R19, R20, R24, R55, R56, R57, R9",0402,9,6K,
"R100, R101, R102, R103, R96, R97, R98, R99",0402,8,22,
"R109, R115, R116, R133, R135, R16, R17, R22, R23, R29, R52, R58, R59, R60, R61, R62, R63, R7, R8",0402,19,10k,
"R117, R31, R32, R36, R37, R38, R39, R54, R83, R87",0402,10,1K,
R134,0402,1,4.7k,
R18,0402,1,5K,
R26,0402,1,33,
R27,0402,1,220,
R28,0402,1,10,
R35,0402,1,470,
R42,0402,1,47k,
R43,0402,1,75k,
"R46, R49",0402,2,100k,
"R68, R69",0402,2,3.3,
"SW1, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW2, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW6, SW7, SW8, SW9",SW-SMD_4P-L12.0-W12.0-P5.00-LS15.4,51,TS-1003ST-26,C455234
"SW10, SW19, SW20, SW33, SW34, SW5",SW-TH_EC12EXXXX,6,RotaryEncoder,C470684
"SW58, SW60",SW_SPST_CK_RS282G05A3,2,SW_Push,
SW61,SW-TH_EC11E15244G1,1,RotaryEncoder_Switch,
"U1, U2, U3",TSSOP-28_4.4x9.7mm_P0.65mm,3,PCM5122PW,
"U10, U12, U13, U14, U9",SW-TH_6P-L7.0-W7.0-P2.00_7-7-ZS,5,~,C5379891
"U11, U20, U4, U5, U6, U8",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,6,NE5532DR,C7426
U15,UQFN-10_L2.0-W1.5-P0.50-BL-EP,1,TS5A23159RSER,C138710
U17,HSOP-20_L12.8-W7.5-P1.27-LS10.3-BL-EP3.3,1,TPA6120A2DWP,C2871054
U19,HTSSOP-32_L11.0-W6.1-P0.65-LS8.1-BL,1,TPA3116D2DAD_C2865736,C2865736
U21,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,1,CY8CMBR3116-LQXIT,C914913
U22,FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH20,1,FPC-05F-6PH20,C2856796
U27,TSOP-48_L12.0-W18.4-P0.50-LS20.0-TL,1,W29N02KVSIAF,C2940193
U32,CRYSTAL-SMD_4P-L3.2-W2.5-BL_SIT8008BI,1,~,C7294602
U33,OLED-SMD_HS20HS072RX,1,HS20HS072RX,C5329582
VQ1,LQFP-144_L20.0-W20.0-P0.50-LS22.0-BL,1,STM32H723ZGT6,C730146
Y1,FC-135R_L3.2-W1.5,1,32.768KHz,
