Designator,Mid X,Mid Y,Rotation,Layer
AUDIO1,307.6,-52.9,180.0,bottom
C1,276.788,-85.935,270.0,bottom
C10,426.152598,-109.953795,90.0,bottom
C100,422.196707,-83.009293,180.0,bottom
C102,421.576707,-61.829293,90.0,bottom
C104,421.176707,-88.826642,270.0,bottom
C109,442.685707,-89.369293,90.0,bottom
C11,426.152598,-107.853795,90.0,bottom
C110,443.776707,-61.579293,90.0,bottom
C115,446.276707,-87.179293,45.0,bottom
C116,447.276707,-63.529293,135.0,bottom
C12,411.65,-107.425,90.0,bottom
C122,450.424715,-86.577301,45.0,bottom
C123,451.276707,-64.079293,135.0,bottom
C13,411.652598,-109.573795,90.0,bottom
C134,127.15,-61.945,90.0,top
C14,347.1875,-102.892182,270.0,bottom
C140,157.0,-91.62,90.0,top
C144,140.05,-107.9,270.0,top
C146,151.1,-102.05,0.0,top
C15,331.5375,-95.922182,270.0,bottom
C150,151.55,-61.225,180.0,top
C151,144.1,-76.4,90.0,top
C155,135.1,-103.15,270.0,top
C159,148.95,-79.9,90.0,top
C16,331.5375,-97.972182,270.0,bottom
C161,152.8,-84.45,0.0,top
C164,155.925,-96.9,0.0,top
C165,161.57,-97.87,0.0,top
C166,135.45,-80.475,90.0,top
C168,148.275,-110.475,270.0,top
C169,151.625,-112.1,0.0,top
C17,346.1375,-98.602182,270.0,bottom
C170,159.95,-104.7,180.0,top
C171,163.225,-101.97,90.0,top
C172,157.6,-97.1,270.0,top
C174,126.55,-90.65,180.0,top
C175,131.5,-84.15,90.0,top
C178,130.75,-99.1,180.0,top
C18,346.1375,-96.552182,270.0,bottom
C188,127.02,-88.94,180.0,top
C19,285.938,-92.395,270.0,bottom
C191,147.625,-105.725,180.0,top
C196,145.65,-77.05,0.0,top
C198,214.5,-97.275,90.0,top
C2,413.102598,-108.523795,90.0,bottom
C20,280.297,-93.209,90.0,bottom
C21,262.747,-81.475,270.0,bottom
C22,262.797,-88.345,90.0,bottom
C23,282.047,-84.399,270.0,bottom
C24,402.552598,-102.613795,90.0,bottom
C25,409.290098,-99.493795,270.0,bottom
C26,431.402598,-112.563795,90.0,bottom
C27,431.402598,-105.553795,270.0,bottom
C28,407.665098,-109.853795,90.0,bottom
C29,352.0875,-104.072182,270.0,bottom
C3,344.7875,-97.522182,270.0,bottom
C30,347.1875,-107.522182,90.0,bottom
C31,327.9875,-93.082182,270.0,bottom
C32,327.9875,-99.922182,90.0,bottom
C33,349.9375,-94.672182,270.0,bottom
C34,288.938,-83.035,90.0,bottom
C35,290.288,-91.14,270.0,bottom
C36,400.602598,-110.103795,270.0,bottom
C37,397.802598,-104.683795,90.0,bottom
C38,356.7875,-96.422182,90.0,bottom
C39,356.5,-101.397182,0.0,bottom
C4,281.747,-89.709,270.0,bottom
C40,400.503,-94.051,90.0,bottom
C41,396.353,-83.551,270.0,bottom
C42,302.565,-80.42,270.0,bottom
C43,365.6775,-101.984682,270.0,bottom
C44,296.965,-87.42,90.0,bottom
C45,359.22,-97.31,90.0,bottom
C5,266.097,-84.335,270.0,bottom
C51,370.98,-104.447182,90.0,bottom
C53,309.706332,-93.615427,90.0,bottom
C54,376.48,-97.247182,270.0,bottom
C55,315.356332,-86.185427,270.0,bottom
C58,282.32,-53.7875,90.0,bottom
C6,266.097,-86.385,270.0,bottom
C60,370.25,-95.067182,270.0,bottom
C61,300.3,-72.15,0.0,bottom
C62,302.97,-76.55,90.0,bottom
C67,406.446707,-75.609293,90.0,bottom
C7,278.275,-86.775,270.0,bottom
C72,409.396707,-80.909293,0.0,bottom
C73,409.546707,-79.309293,0.0,bottom
C75,312.32,-76.45,90.0,bottom
C76,314.97,-72.1,180.0,bottom
C77,415.746707,-68.559293,180.0,bottom
C79,392.25,-76.0925,90.0,bottom
C8,278.288,-84.835,270.0,bottom
C80,459.590748,-99.464795,0.0,top
C81,456.875748,-101.684795,270.0,top
C82,459.560748,-100.564795,0.0,top
C83,457.975748,-101.704795,270.0,top
C84,397.85,-68.9925,270.0,bottom
C86,422.146707,-68.459293,180.0,bottom
C88,422.216707,-81.509293,180.0,bottom
C9,409.302598,-103.763795,90.0,bottom
C93,427.826707,-78.779293,270.0,bottom
C94,427.846707,-76.609293,90.0,bottom
C95,427.846707,-74.159293,270.0,bottom
C96,427.776707,-72.009293,270.0,bottom
C98,422.146707,-67.009293,180.0,bottom
CARD1,177.5,-55.0625,180.0,bottom
CN1,236.85,-53.9,180.0,bottom
CN2,268.995,-53.9,180.0,bottom
D1,173.95,-151.82,90.0,top
D10,230.2,-181.82,90.0,top
D11,236.45,-211.82,90.0,top
D12,242.7,-241.82,90.0,top
D13,248.95,-151.82,90.0,top
D14,255.2,-181.82,90.0,top
D15,261.45,-211.82,90.0,top
D16,267.7,-241.82,90.0,top
D17,273.95,-151.82,90.0,top
D18,280.2,-181.82,90.0,top
D19,286.45,-211.82,90.0,top
D2,180.2,-181.82,90.0,top
D20,292.7,-241.82,90.0,top
D21,298.95,-151.82,90.0,top
D22,305.2,-181.82,90.0,top
D23,311.45,-211.82,90.0,top
D24,317.7,-241.82,90.0,top
D25,323.95,-151.82,90.0,top
D26,330.2,-181.82,90.0,top
D27,336.45,-211.82,90.0,top
